,code,title,year,ratings_avg,nattions,genres
411,tEQkV7k,좀100 ~좀비가 되기 전에 하고 싶은 100가지~,2023.0,7.056463595839524,['일본'],"['애니메이션', '액션', '스릴러']"
412,tl9gpqj,사막의 왕,2022.0,6.80439980870397,['한국'],"['판타지', '드라마', 'TV드라마']"
413,mQO8b5R,러브레터,1995.0,8.001723795927148,['일본'],['로맨스']
414,mdj09rW,"장화, 홍련",2003.0,6.6813014903477175,['한국'],"['공포', '스릴러']"
415,mOVvDap,원스 어폰 어 타임... 인 할리우드,2019.0,7.388994684462402,"['미국', '영국', '중국']","['코미디', '드라마']"
416,tRw554l,미란다 시즌 1,2009.0,8.476921762532305,['영국'],"['로맨스', '코미디', '시트콤', 'TV드라마']"
417,m5GXz42,라라랜드,2016.0,8.28361279045424,['미국'],"['코미디', '드라마', '음악', '뮤지컬', '로맨스']"
418,mYdEnE5,캐치 미 이프 유 캔,2002.0,8.160683098748168,"['미국', '캐나다']","['범죄', '드라마', '코미디']"
419,md7ZopO,2012,2009.0,6.838395326637675,['미국'],"['재난', '액션', '모험', 'SF']"
420,mWJy7M5,악마를 보았다,2010.0,7.55562664135736,['한국'],"['공포', '범죄', '스릴러']"
421,m85X9LW,이터널 선샤인,2004.0,8.315217182064433,['미국'],"['드라마', '로맨스', 'SF']"
422,m5nQ7nd,데어 윌 비 블러드,2007.0,8.261405858056241,['미국'],['드라마']
423,m5m14vD,시카리오: 암살자의 도시,2015.0,7.7542245607776685,"['미국', '멕시코', '홍콩']","['액션', '범죄', '드라마', '미스터리', '스릴러']"
424,m5xJLaO,셔터 아일랜드,2010.0,7.766865442345424,['미국'],"['미스터리', '스릴러']"
425,tlObYNX,이직의 마왕님,2023.0,7.413173652694611,['일본'],"['드라마', 'TV드라마']"
426,m5Xxqp5,호빗 : 뜻밖의 여정,2012.0,7.62282066101502,"['뉴질랜드', '미국']","['모험', '판타지']"
427,mW4a6gO,로리타,1997.0,6.411619732216912,"['프랑스', '미국']","['드라마', '로맨스']"
428,m5nwoZ9,날씨의 아이,2019.0,7.667222384545314,['일본'],"['애니메이션', '드라마', '판타지', '로맨스']"
429,tR4JKw5,"최고의 교사: 1년 후, 나는 학생에게 ■당했다",2023.0,7.476580796252928,['일본'],"['미스터리', '스릴러', '드라마', 'TV드라마']"
430,m5XMJ1W,노인을 위한 나라는 없다,2007.0,7.9945376454823665,['미국'],"['범죄', '드라마', '스릴러']"
431,mdBzraD,마스터,2016.0,7.120840351535568,['한국'],"['범죄', '스릴러', '액션']"
432,mOkB6jW,월드워Z,2013.0,7.61650110464708,"['미국', '영국', '몰타']","['액션', '모험', '공포', 'SF', '스릴러']"
433,tEK2B2l,태양의 후예,2016.0,8.181775258824828,['한국'],"['액션', '로맨스', '드라마', 'TV드라마']"
434,tlGNBv7,스파이 패밀리,2022.0,8.400303132367801,['일본'],"['애니메이션', '액션', '코미디', '드라마', '로맨틱 코미디']"
435,mdRLLbb,더 랍스터,2015.0,7.4304486634781135,"['아일랜드', '영국', '그리스', '프랑스', '네덜란드', '미국']","['코미디', '드라마', '로맨스', 'SF', '스릴러']"
436,m5eJwn9,유전,2018.0,7.119254296018669,['미국'],"['드라마', '공포', '미스터리', '스릴러']"
437,mdEwqpW,아키라,1988.0,7.723534928750794,['일본'],"['애니메이션', 'SF', '액션']"
438,mW4YZko,미드웨이,2019.0,7.66639497619621,"['미국', '캐나다']","['액션', '모험', '드라마', '역사', '전쟁']"
439,mNdKged,중경삼림 리마스터링,1994.0,8.056310369067234,['홍콩'],"['범죄', '드라마', '미스터리', '로맨스', '코미디']"
440,mWyzmNO,그녀,2013.0,7.871977725636262,['미국'],"['드라마', '로맨스', 'SF']"
441,tR72Ljk,브러쉬 업 라이프,2023.0,9.069015775034293,['일본'],"['드라마', '코미디', '판타지', 'TV드라마']"
442,tE1KpWP,헌터X헌터 Part 1,2011.0,8.578009651337446,['일본'],"['애니메이션', '액션', '판타지', '모험']"
443,mObGGj7,베테랑,2014.0,8.026263651299894,['한국'],"['액션', '드라마', '범죄']"
444,mdjal9O,박쥐,2009.0,6.732854737135573,['한국'],"['로맨스', '스릴러']"
445,mOAwoP5,미션 임파서블 : 고스트 프로토콜,2011.0,7.8063706972105535,['미국'],"['액션', '모험', '스릴러']"
446,mOoJKyW,미션 임파서블: 로그네이션,2015.0,7.611945815926067,"['미국', '중국', '홍콩', '오스트리아', '영국', '모로코']","['액션', '모험', '스릴러']"
447,mJO1n8d,마이너리티 리포트,2002.0,7.957950923628343,['미국'],"['액션', '범죄', '미스터리', 'SF', '스릴러']"
448,mLOPKgW,트루먼 쇼,1998.0,8.518434113017554,['미국'],"['코미디', '드라마']"
449,mqW9aeW,빅 피쉬,2003.0,7.792230403714317,['미국'],"['모험', '판타지', '드라마']"
450,tRN1ZdE,수수하지만 굉장해! 교열걸 코노 에츠코 시즌 1,2016.0,8.112274462005715,['일본'],"['드라마', 'TV드라마']"
451,m5mGVzO,타짜 - 신의 손,2014.0,6.544613223328015,['한국'],['드라마']
452,m1WwY4d,시네마 천국,1988.0,8.555509910650098,"['이탈리아', '프랑스']",['드라마']
453,mW9p9DZ,연애 빠진 로맨스,2021.0,6.909854809828921,['한국'],"['로맨스', '코미디']"
454,mdKBMrJ,겟 아웃,2017.0,7.611932158695913,"['미국', '일본']","['공포', '미스터리', '스릴러', '드라마']"
455,mOgBjN9,카메라를 멈추면 안 돼!,2017.0,7.501256680247632,['일본'],"['공포', '코미디', '드라마']"
456,mjO0zL5,대부,1972.0,8.552413908876561,['미국'],"['범죄', '드라마']"
457,tEKzxg5,며느라기 2…ing,2022.0,8.365693130399013,['한국'],"['드라마', 'TV드라마']"
458,tR5799l,퐁당퐁당 LOVE,2015.0,8.287483330615064,['한국'],"['드라마', '로맨스', '코미디', '판타지', '시대극', 'TV드라마']"
